,location
"Stanton, MI",1
"East Port Orchard, WA",1
"Center World, OH",1
"Wistaston, England, England",1
"West Point, GA",1
"Fort Edward, NY",1
"Içara, Santa Catarina, Santa Catarina",1
"Mountain View Acres, VA",1
"Aberdeen, WA",1
Mount Gambier,1
"Noordwijk, Drenthe, South Holland",1
"New Braintree, MA",1
"Mount Holly, NJ",1
"East Atlanta, GA",1
"North Conway, NH",1
"Mount Pleasant, Saratoga, NY, Optional[NY]",1
shinsaibashi,1
"Contact, MT",1
Wakefield,1
Saint-Laurent-du-Var,1
Wah Fu,1
"Greentree, PA",1
"Saint Charles, MI",1
"San Benito, CA",1
Punta Gorda,1
"Latah, WA",1
"Chifley, New South Wales",1
"Hexham, New South Wales, New South Wales",1
"West Huntington, WV",1
"Sahuarita, AZ",1
"Lindsay, CA",1
"Brockway, PA",1
Sattahip,1
"Elsa, TX",1
"San José, Heredia, Heredia",1
Sargodha,1
"Watchfield, South West England, England, England",1
"Kennedy Space Center, FL",1
Saint John's,1
"Itajaí, Santa Catarina, Santa Catarina",1
"Uniontown, OH",1
"Savannah, TN",1
Uiwang,1
"Sawley, East Midlands, England, England",1
Saint-Louis,1
"Chesapeake Heights on the Bay, MD",1
"Waupaca, WI",1
"Kansas, AL",1
"Waterfall, PA",1
"Lake Odessa, MI",1
Manta,1
"Glebe, New South Wales",1
"Alrewas, England, England",1
"Eatonton, GA",1
"Safford, AL",1
"San Juan, San Juan, San Juan",1
"Aschersleben, Sachsen-Anhalt, Sachsen-Anhalt",1
"San Ysidro, CA",1
Sabana Redonda,1
Upper Swan,1
"Highpoint, MS",1
"Morriston, Wales, Wales",1
"Clinton, NC",1
Colli del Tronto,1
"York New Salem, PA",1
Nizwa,1
"Mount Sterling, KY",1
"Huntley, IL",1
"East Nassau, NY",1
Hunter,1
"Tiger Point, FL",1
"Erskine, Western Australia, Western Australia",1
"Clinton, AR",1
"Chalfont Saint Giles, England, England",1
"Hartley Wintney, England, England",1
"Gusau, Zamfara, Zamfara",1
Vaasa,1
San Diego,1
Saldanha,1
"East Newark, NJ",1
Wonthaggi,1
"Monticello, KY",1
"Blantyre, NC",1
"Crîngu, Constanta, Constanta",1
"Brunswick, ME",1
"Sacramento, IL",1
Banora Point,1
Imeni Trinadtsati Let Kazakhstana,1
"South Pasadena, FL",1
"Walton le Dale, England, England",1
Ban Gawan,1
"San Pedro, Belize, Belize",1
"Riverside, Montgomery, OH, Optional[OH]",1
"Oo, West Nusa Tenggara, West Nusa Tenggara",1
"Pensacola Beach, Escambia, FL, Optional[FL]",1
Sap,1
"Antioch, TN",1
"Darlington, Queensland, Queensland",1
"Guildford, Western Australia, Western Australia",1
"Prosser, WA",1
"Bhaktapur, Central Region, Central Region",1
"San Rafael, Heredia, Heredia",1
"Nestleway Acres, NC",1
"Montmagny, QC",1
"East Spokane, WA",1
"Montgomery, MA",1
"Anacortes, WA",1
"Loznica, Toplica, Central Serbia, Central Serbia",1
"Cannon Hill, Queensland",1
"Usk, Wales, Wales",1
"North Elmsall, England, England",1
"Pyle, Wales, Wales",1
"Chesapeake Beach, MD",1
Mehsana,1
"Beaufort County Landing, SC",1
"Sandwich, IL",1
"Medical Lake, WA",1
"Clyde Hill, WA",1
"Kirkintilloch, Scotland, Scotland",1
Sandefjord,1
"Saanich, BC",1
"Chicksands, England, England",1
"Plaridel, Misamis Occidental, Misamis Occidental",1
"Gentry, AR",1
"Staunton, Gloucestershire, South West England, England, England",1
Alsīsar,1
"Umeda, Osaka, Osaka",1
"Morganton, GA",1
"Fenstanton, England, England",1
"Skewen, Wales, Wales",1
"San Luis, AZ",1
"Glyn-neath, Wales, Wales",1
"East Wenatchee, WA",1
"Port Clinton, OH",1
"Watervliet, MI",1
"Duntocher, Scotland, Scotland",1
Begusarai,1
"West Ryde, New South Wales",1
"Swainsboro, GA",1
"Owenton, KY",1
"Wardington, England, England",1
"Watford, ON",1
Maxsain,1
"Stone Mountain Post Office, GA",1
"Walker, MI",1
"Saint Columb Major, England, England",1
"Clairmont, AB",1
"Sandwich, England, England",1
"Sainte-Julie, QC",1
"Crescent Springs, Kenton, KY, Optional[KY]",1
Dessau-Roßlau,1
"Blue Mountains, ON",1
"Watauga, TX",1
"Water Valley, MS",1
"Mont-Royal, QC",1
"Wallis, TX",1
"Bow, WA",1
"Safford, AZ",1
"Sutherland, New South Wales, New South Wales",1
"Gladewater, TX",1
Lodwar,1
"Cadoxton, Wales, Wales",1
"Wadhurst, England, England",1
Mount Hagen,1
"Saint Helens, South East England, England, England",1
"Wath, England, England",1
"Maryborough, Victoria, Victoria",1
"Sauk City, WI",1
"West End, Queensland",1
Sacramento,1
"Walldorf, Baden-Württemberg, Baden-Württemberg",1
"Swanton, OH",1
"Stone, Kent, South East England, England, England",1
"Kelso, WA",1
"Hohenwald, TN",1
"Burntisland, Scotland, Scotland",1
"Swagg, AL",1
"Portland, Victoria, Victoria",1
Marsa Alam,1
"Central Park, NJ",1
"Saint Bernard, LA",1
"Barra Mansa, Rio de Janeiro, Rio de Janeiro",1
"Graham, WA",1
San Pedro Sula,1
"Ridgeway, VA",1
"Saint-Michel, QC",1
"Centerville, MD",1
"Hopkinton, MA",1
"Germantown, WI",1
"Hargeysa, Woqooyi Galbeed, Woqooyi Galbeed",1
Przedmiéscie Warszawskie,1
"Kingston, Tasmania, Tasmania",1
"Kewaskum, WI",1
"Huntington Woods, MI",1
"Saint Paul, IN",1
"Yacolt, WA",1
"Saint-Denis, 93, Île-de-France",1
Nanterre,1
"Mountainview, VA",1
"Chesapeake, OH",1
"Walton, NY",1
"Groot-Bijgaarden, Flemish Brabant",1
"Subotica, Central Serbia, Central Serbia",1
"CC Maynards Settlement, KY",1
"Woden, Australian Capital Territory",1
"Saint Pancras, England, England",1
"Saint James, MN",1
"Saint Louis, OK",1
"Cheese Factory Corner, NS",1
"Toppenish, WA",1
"Saint-Hubert, QC",1
Kwai Fong,1
"Stillwater, MN",1
"North Sarasota, FL",1
"Gordon, New South Wales, New South Wales",1
"Ardrossan, Scotland, Scotland",1
"Vila Velha, Espírito Santo, Espírito Santo",1
"Saint Andrews, NB",1
"Wallington, South East England, England, England",1
"Selah, WA",1
"Louisa, VA",1
"Genval, Walloon Brabant",1
"U Saddle River, NJ",1
"Washington, IN",1
"Mitchel Troy, Wales, Wales",1
"Néa Smírni, Thessaly, Thessaly",1
Mount Waverley,1
"Heist-op-den-Berg, Antwerp",1
"North Nassau, NY",1
"Montezuma, GA",1
"Thongwa, Yangon, Yangon",1
"Llandaff, Wales, Wales",1
Olifantsfontein,1
"Port Isabel, TX",1
"Serdang, Selangor Darul Ehsan, Selangor Darul Ehsan",1
"Akasaka, Tokyo, Tokyo",1
"Clarkston, WA",1
"South Rocky Mount, NC",1
Dronten,1
"Sanford, MI",1
"Grand Junction, Mesa, CO, Optional[CO]",1
"Interlachen, FL",1
"Crumlin, Wales, Wales",1
"Kangaroo Point, Queensland",1
"Hendek, Sakarya, Sakarya",1
"Gresford, Wales, Wales",1
"Stewartby, England, England",1
Ballarat Central,1
Saint-Martin-sur-le-Pré,1
"Llandeilo, Wales, Wales",1
"Goro, Dire Dawa, Dire Dawa",1
"Jeffersontown, KY",1
"Hayward, WI",1
"Massapequa Park, NY",1
Salcete,1
"Saluda, SC",1
Blackwater,1
"Newbridge, Wales, Wales",1
"San Carlos, San Carlos City, San Carlos City",1
Sapucaia do Sul,1
"Ciputat, Banten, Banten",1
"Hunter, UT",1
"Trostre, Wales, Wales",1
"Spanish Springs, Washoe, NV, Optional[NV]",1
Uranosaki,1
Antartinggi,1
"Derby, Western Australia, Western Australia",1
"Manly, New South Wales, New South Wales",1
"Eastpointe, MI",1
"Sembawang Estate, ",1
"Blackwall, England, England",1
"Ferndale, WA",1
"San Jose, PR",1
"Saint Thomas, ND",1
"Lake Point, UT",1
"Mountain Grove, Wright, MO, Optional[MO]",1
"Pocahontas, IL",1
"Cagliari, Sardegna, Sardegna",1
"Warrensville Heights, OH",1
"Shadwell Mountain, VA",1
"The Mumbles, Wales, Wales",1
"Iron Mountain, MI",1
"Quincy, WA",1
"Bordentown, NJ",1
"Haleiwa, HI",1
"Saint-Georges, QC",1
"Ravensworth, North East England, England, England",1
"Clintonville, WI",1
"Salamanca, NY",1
Sesto San Giovanni,1
"Pontoon Beach, IL",1
"Ironton, OH",1
"Repentigny, QC",1
Nantou,1
Anta,1
"Waynesville, NC",1
Mentone,1
San Benedetto del Tronto,1
"San Ysidro Colonia, TX",1
"Orting, WA",1
"Buckley, WA",1
"Camdenton, MO",1
"Donostia / San Sebastián, Basque Country, Basque Country",1
"Waldo, FL",1
"Saint Francis, WI",1
"Benton, KY",1
"Atwater, CA",1
"Sans Souci, SC",1
Samut Prakan,1
"Bellefonte, PA",1
"Saint-Élie-d'Orford, QC",1
"Waipahu, HI",1
"Bomont, WV",1
"Waimänalo, HI",1
"Sahāra, West Bengal, West Bengal",1
"Wark, Northumberland, North East England, England, England",1
"West Canton, NC",1
"Ottery Saint Mary, England, England",1
"Warr Acres, OK",1
"Sabattus, ME",1
"Ban Nôn, Champasak, Champasak",1
"Trenton, MO",1
"International Falls, MN",1
Salt Lake,1
"Quezon, San Carlos City, San Carlos City",1
"Briton Ferry, Wales, Wales",1
"First Mesa, AZ",1
"Mamhilad, Wales, Wales",1
"Wasaga Beach, ON",1
"Penllergaer, Wales, Wales",1
"ASHBURTON, Canterbury",1
"De Pinte, East Flanders, East Flanders",1
Montesilvano,1
"Ward, AR",1
‘Asalūyeh,1
"Mountain View Acres, CA",1
Pontedera,1
Saloníki,1
"Fermont, QC",1
"Atlantic Highlands, NJ",1
"Stuck, WA",1
Trivento,1
"Swaythling, England, England",1
"Treorchy, Wales, Wales",1
"Vermontville, MI",1
"Freeland, WA",1
"Rancho Santa Fe, CA",1
"Centralia, MO",1
"Gordon, South Australia, South Australia",1
"Centre, AL",1
