,firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
200595,Deloitte,2020-02-11, Senior Consultant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",5,3.0,4.0,,5.0,3.0,4.0,v,v,v,"Tremendous learning experience, surrounded by great people","Interesting problems clients engage us to solve, large national and global clients that engage Deloitte - making the work significant and exciting. much earlier exposure to senior stakeholders than if you worked in industry. Surrounded by smart, passionate people who love what they do and want the best outcomes for clients. Great place to be moulded into an effective professional with the right toolkit",Can be a lack of work life balance
200702,Deloitte,2020-02-18, Executive Director,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,2.0,4.0,,4.0,2.0,4.0,v,v,v,"Great place, long hours",Excellent culture and the firm will back you to build your own business and take your career where you want it to go.,Commitment to flexibility but long working hours persist.
201418,Deloitte,2020-04-15, Graduate,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Great company,"Great culture, great people to work with",Nothing that I can think of
202773,Deloitte,2020-07-14, Senior Consultant,Former Employee,"West Perth, Western Australia",4,,,,,,,o,o,o,Good place to be,"Great team
Great Culture
Excellent team spirit","low pay
extended working hours
minimum work life balance"
203042,Deloitte,2020-07-28, Director,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",5,3.0,4.0,,4.0,2.0,4.0,v,r,v,Great,Great i have there yeah,Not goo dmoney there buddy yay
203043,Deloitte,2020-07-28, Director,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",5,3.0,4.0,,4.0,2.0,4.0,v,r,v,Great,Great i have there yeah,Not goo dmoney there buddy yay
203311,Deloitte,2020-08-07, Senior Consultant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,4.0,4.0,,4.0,4.0,4.0,v,r,o,Excellent Work life balance,"Good work life balance, very easy to reach out to the leadership team, ample opportunities","Company politics, Very least Annual appraisal"
203809,Deloitte,2020-08-21, Senior Consultant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,2.0,3.0,,5.0,4.0,3.0,v,r,r,Decent work but not long term,"Nice facilities
Good people
Decent culture
Prestige of Big 4","Long hours
No support structure
Treated as disposable."
204112,Deloitte,2020-08-28, Associate Director,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,2.0,4.0,,4.0,1.0,4.0,x,v,r,Typical Big 4,Economics practice is market leading,"Salaries often lower than market, with rewards largely held at partnership level"
205281,Deloitte,2020-09-26, Director,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",5,4.0,4.0,5.0,5.0,4.0,5.0,v,v,v,You get out what you put in,"Deloitte is great, its hard work but the benefits of the on the job learning are significant. Even when you're not enjoying it you are learning",Your experience is completely dependent on the Partners you work with and Partners are generally self motivated. So you need to try and align to the right ones as ultimately that will drive your experience
205556,Deloitte,2020-10-03, Tax Accountant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Good company,A company that values its employees,A good profile company it is
205557,Deloitte,2020-10-03, Tax Accountant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Good company,A company that values its employees,A good profile company it is
205953,Deloitte,2020-10-13, Senior Analyst,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",3,2.0,4.0,4.0,3.0,2.0,4.0,o,o,o,Great learning experience,Interesting types of work and great experience,Working longer hours for lower pay
206098,Deloitte,2020-10-16, Programmer,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Great company,Great culture and colleagues are fun,Having to work long hours
206507,Deloitte,2020-10-27, Senior Analyst,Current Employee,"Perth, Western Australia, Western Australia",5,4.0,4.0,5.0,5.0,4.0,4.0,o,r,o,Awesome,"Great focus on wellbeing and awesome corporate culture, great career opportunities",Some work can be repetitive and tedious
206508,Deloitte,2020-10-27, Senior Analyst,Current Employee,"Perth, Western Australia, Western Australia",5,4.0,4.0,5.0,5.0,4.0,4.0,o,r,o,Awesome,"Great focus on wellbeing and awesome corporate culture, great career opportunities",Some work can be repetitive and tedious
207383,Deloitte,2020-11-20, Consultant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,2.0,4.0,4.0,3.0,1.0,4.0,x,r,r,Review,"Culture, Diversity, Inclusion, Experience, Coffee machine","Salary, work life balance, broken promotion system"
207526,Deloitte,2020-11-24, Manager,Former Employee,"Perth, Western Australia, Western Australia",4,4.0,5.0,3.0,4.0,4.0,4.0,v,r,r,Good Foundation. Good experience.,Great team. Great leadership. Fantastic milestone training.,Dilution of culture with fast growth
208339,Deloitte,2020-12-14, Consultant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,2.0,3.0,,5.0,1.0,2.0,v,o,r,Great starting position,"Great Lower and Middle Management Team
Strong learning development roadmap
Exposure to a wide range of client and industries","Poor Leadership Team
Western Australian Office decisions are usually controlled by the East Coast offices
No overtime or recogniesed time in lieu benefits
No benefits"
209581,Deloitte,2021-01-12, Senior Analyst,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Good experience,Good experience and broad client exposure,Work load and stress levels
210668,Deloitte,2021-01-24, Graduate,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Great place to learn!,You get exposure that you wouldn’t get if you worked in industry,Can be quite intense at times depending on your project.
211181,Deloitte,2021-01-31, Senior Consultant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",3,3.0,2.0,3.0,3.0,3.0,3.0,v,r,r,Great place to learn and grow but suffers from cliquiness.,Ongoing training; self directed work flow; ongoing self improvement.,Felt quite cliquey at time with people only working with people they had worked with before. Hard to break into the circles and get staffed on projects without having proved yourself in some manner. Best bet is to team up with other newbies.
211776,Deloitte,2021-02-09, Consultant,Current Employee,"Victoria, BC",3,,,,,,,o,o,o,Compensation Sucks,good brand to start with,Compensation not up to the mark
211782,Deloitte,2021-02-09, Consultant,Current Employee,"Victoria, BC",3,,,,,,,o,o,o,Compensation Sucks,good brand to start with,Compensation not up to the mark
212561,Deloitte,2021-02-21, Senior Consultant,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",4,2.0,5.0,5.0,5.0,3.0,4.0,v,v,v,Consulting,"High performance culture
Strong management capability",Long hours and high expectations for remuneration
213281,Deloitte,2021-03-03, Graduate,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Great place to work,Pay and experience along with good work-life balance,hours can belong in some service lines
213590,Deloitte,2021-03-08, Senior Consultant,Current Employee,"Perth, Western Australia, Western Australia",3,2.0,3.0,3.0,3.0,3.0,3.0,x,r,v,Variety in role,Exposure to different projects and clients,Often working in high pressure environments
213611,Deloitte,2021-03-09, Analyst,Former Employee,"Perth, Western Australia, Western Australia",4,2.0,3.0,4.0,4.0,2.0,4.0,v,r,r,Good place to learn,Strong brand recognition and presence in market- opens doors in the future,"Hours can be long, challenging as a junior employee without support networks"
213612,Deloitte,2021-03-09, Analyst,Former Employee,"Perth, Western Australia, Western Australia",4,2.0,3.0,4.0,4.0,2.0,4.0,v,r,r,Good place to learn,Strong brand recognition and presence in market- opens doors in the future,"Hours can be long, challenging as a junior employee without support networks"
214140,Deloitte,2021-03-17, Business Analyst,Current Employee,"Victoria, BC",1,,,,,,,o,o,o,Circle J of D Bags,Well-known company so it looks good on your resume,Everyone has a God complex
214308,Deloitte,2021-03-19, Specialist,"Former Employee, more than 5 years","Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Great Company,Company very strong on employee empowerment,Lots of constant travel required
214653,Deloitte,2021-03-25, Senior Analyst,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,1.0,3.0,4.0,4.0,1.0,4.0,v,r,r,Good career start,"Great exposure to clients, senior team members and no shortage of opportunities to learn.","Be prepared to work much, much more than a 40-hour week for much, much less than your peers are earning in industry."
215123,Deloitte,2021-04-04, Senior Analyst,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Review,You have Blue chip clients,Your work really Long hours
215522,Deloitte,2021-04-12, Business Analyst,Current Employee,"Perth, Western Australia, Western Australia",3,3.0,5.0,4.0,5.0,2.0,5.0,v,o,v,Love the flexibility,"Work flexibility is great, culture is safe and inclusive",Long hours and low pay
215644,Deloitte,2021-04-14, Consultant,Current Employee,"Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,...,"Good worklife balance, fun young team","Poor salary, work hard, high expectations"
215980,Deloitte,2021-04-21, Analyst,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",4,4.0,5.0,5.0,4.0,1.0,4.0,o,o,o,Good experience,Good team and diversity of projects,Not enough money for an entry level job
216694,Deloitte,2021-05-04, Graduate Analyst,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",4,5.0,5.0,5.0,5.0,3.0,5.0,o,o,o,?,"Flexible, supportive, learning, growth, rewarding",The pay could be better.
219022,Department-of-Health-UK,2018-07-09, Anonymous Employee,"Former Employee, more than 1 year","Woden, Australian Capital Territory",4,,,,,,,o,o,o,Good opportunities for career progression and lots of learning opportunities,Good opportunities for development and good support for staff. Interesting policy areas and you feel that you can make a difference.,Central government so the budget is very tight. Financial incentives are few and far between.
230613,Doubletree-By-Hilton,2016-10-05, Assistant IT Manager,"Former Employee, less than 1 year",Victoria,5,4.0,4.0,,4.0,4.0,4.0,v,o,v,Good palce to work,"Good environment for work,good management.",Food quality needs to be improved for staff
231075,Doubletree-By-Hilton,2019-08-25, Bartender,"Current Employee, less than 1 year",Victoria,2,1.0,1.0,,3.0,1.0,1.0,v,v,o,Bar captain,Best place to work...,No careing for staff..
231355,Doubletree-By-Hilton,2021-02-03, Sales Manager,"Former Employee, more than 1 year","Victoria, BC",4,3.0,4.0,5.0,5.0,3.0,4.0,o,o,o,Good company for career growth. Great leadership,"Amazing industry, good perks, great mentorship",low pay for the role compared to other industries
232497,ENGIE,2013-12-07, Anonymous Employee,"Current Employee, more than 8 years","Perth, Western Australia, Western Australia",4,3.0,4.0,,3.0,3.0,3.0,v,v,v,"Great experience, good international experience",Good international experience. Strong LNG trading and power company. Developing quickly in terms of E&P and LNG production project development expertise.,French nationals get preferred treatment. A lot of programme and project management standards and processes still to be developed. Competencies at the programme management level still to be developed.
233006,ENGIE,2019-11-26, Business Analyst,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",2,4.0,2.0,,2.0,2.0,3.0,x,r,r,Review,Great manager who provided lots of mentoring.,Non-existent parental leave policies. Very poor in my opinion.
233261,ENGIE,2021-05-03, Operation & Maintenance Supervisor,"Current Employee, more than 10 years","Perth, Western Australia, Western Australia",4,4.0,5.0,3.0,1.0,4.0,3.0,v,o,x,working for IPM Kwinana,Working as part of a team of motivated and capable maintenance professionals,Being a small part of a very large multi-national company with bureaucratic systems
233354,EY,2008-06-15, Intern,Former Employee,"Perth, Tasmania, Tasmania",2,2.0,,,4.0,3.0,3.0,x,r,o,"A good start off point for your career, but leave before it makes you hard.","Young, motivated people who are very career oriented would get on well here.

 The facilities are overall very good and there are regular social events designed to encourage integration between staff members of different departments.  Managment takes on a 'best practice' approach to leadership and there is a focus on developing a shared vision between offices and countries.","Very rigid, top down structure. Very Formal responsibilities.  High turnover rate. 

 Professionalism characterises all intra-office relationships.  The culture does not encourage individuality, but rather provokes homogeniety.  There is a strong sense that worth within the office is linked to performance and other status indicators.  This may lead to competitiveness and productivity increases but I find it to be a cold and dispassionate way of dealing with people."
235584,EY,2013-02-15, Anonymous Employee,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",1,4.0,1.0,,1.0,1.0,1.0,x,r,r,Inconsiderate politically motivated people,Brand name world wide well known (not great in all countries though),"1. Not enough intelligence around. Don't know where they should be headed in terms of strategy. Most of the work won is of contracting nature rather than use of good work and win win strategy for selling.
2. Unethical recruiting practices by giving incorrect details and assurances during interviews, work scenario does not match with the assurances provided during interview.
3. Partners are not smart enough and do not have the ability to sell well. They get all their work done by others and portray that they are deeply involved.
4. Significant favoritism attitude shown.  Performance of good people does not matter, what matters is how close you are to the people making decisions.
5.  Perceptions matter more than good work.
6. Employees bullied through the HR route by telling them they are not performing well and in some cases unethically asked to leave.
7. Undue pressure on employees who are performing. No pressure created for favorites who are sitting on the bench for a long time and not delivering to the level required.
8. Very easy to get promoted and be nominated for monthly awards - whether or not you deserve it, no one cares."
237829,EY,2014-12-30, Consultant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",5,5.0,5.0,,5.0,3.0,4.0,v,o,v,"Fun, social and enjoyable work.","Flexible work arrangements
Large social culture
Emphasis on people development",Not very high salaries compared to work for clients
240503,EY,2016-01-02, Consultant,Current Employee,"Perth, Western Australia, Western Australia",5,3.0,5.0,,5.0,3.0,4.0,v,v,v,Conultant at EY,"Great corporate culture, excellent room for growth and career development. Great people and really interesting and diverse projects/work won.","It can be quite hierarchical, there's a lot of pressure to be on client work and little encouragement to work on proposals or Business Development efforts."
243432,EY,2016-11-22, Senior Consultant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",2,2.0,1.0,,2.0,3.0,1.0,x,r,x,Probably the worst one out of the Big 4s in Perth,"Hard to generalise when we talk about the Big 4 machines. The practice could be run very differently in another city in the same country. My feedback is based on what I saw in EY Perth Advisory/Consulting world. 
> Knowledge-base is pretty good and accessible.
> Overall, not too bad a place if you want a start/local experience (important in Perth market) but stay too long and it's suffocating.","Too many to call out here but here's some main ones:
> Partners too greedy to look at staff's plight when on projects.
> People with job titles below Manager are treated quite poorly. No attention given to their feedback/input.
> Groupism and favouritism quite rampant in Perth with little support for ""outsiders"".
> I've seen things go worse for racial minorities with stupid things such English language skills, Accent etc. brought into conversations when discussing performance and feedback.
> Enjoy milking their clients for non value add, redundant projects staffed with absolute newbs. E.g. Mining clients served by nuffy directors and senior managers who've never ever seen a mine in their life.
> They make sure to make life miserable for people on bench with meaningless proposals for projects EY has no chance/expertise/skills/offering. Often, only aim is to undercut the competition."
245476,EY,2017-07-07, Consultant,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",4,3.0,5.0,,5.0,4.0,4.0,v,r,v,Entry level grad into management consulting,The people are excellent to work with since the firm does a superb job of vetting potential employees (almost everyone has a very good working relationship with everyone else),High expectations for extra curricular contributions back into the firm (which may not be everyone's cup of tea)
246958,EY,2017-11-23, Account Clark,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",5,4.0,4.0,,5.0,4.0,3.0,v,v,v,accounts clark,best place to learn and work in WA,WA is  my dream town to stay
249396,EY,2018-08-12, Consultant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",3,3.0,4.0,,4.0,2.0,4.0,o,o,o,Slow growth,Good to have on resume to get other jobs. Good people to work with.,"Very slow growth in skills working as a data analyst. Tend to do the same work over and over, not applying technology typically used by ""real"" analysts. Since leaving I have learned more as an analyst in 4 months than almost 2 years at EY."
250295,EY,2018-10-31, Anonymous Employee,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",4,,,,,,,v,v,r,Good,People are committed and skilled,Leadership are currently focused on wrong measures
250489,EY,2018-11-20, Consultant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,5.0,5.0,,5.0,2.0,5.0,v,r,v,Consultant,Fantastic work like integration. Great exposure to complex matters. Great support.,"Salary is very low (starting salary for grads is $52k including super). Incremental increases are significant but after 3 years, only to $72k including super."
251590,EY,2019-03-13, Senior Associate,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,4.0,3.0,,5.0,4.0,4.0,v,r,r,Risk Advisory,Great way to learn the ropes and to complete Chartered Accountants,"Limited client base, a lot of bureaucracy"
252220,EY,2019-05-09, Transer Pricing Senior Consultant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",2,2.0,3.0,,4.0,2.0,2.0,x,r,r,Transfer Pricing,"Reputation, pays for your studies","luck of the draw with the team you have. usually poor work-life balance, politics, low pay to start"
252582,EY,2019-06-12, Senior Tax Consultant,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",3,3.0,4.0,,5.0,2.0,1.0,v,x,v,Senior Tax Consultant EY,"Big 4, Paid for CA, Great place to start off as a graduate as you make some really great friends.","Sometimes the hours can be terrible, management is not very honest on your promotion prospects. The more senior you go into the firm there is a lot more politics and throwing other people under the bus."
253250,EY,2019-08-08, Manager,"Current Employee, more than 8 years","Perth, Western Australia, Western Australia",4,1.0,4.0,,4.0,2.0,3.0,x,r,x,Good Career Starter,EY invest a lot in building your soft skills which are invaluable. You also get a wide breadth of experience across clients and industries,"Work you to the bone which is tolerable while you’re young. As you progress upwards you have to be more sales focused, and the partnership model sucks for everyone that is not a partner!"
253315,EY,2019-08-13, Risk Manager,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,2.0,4.0,,3.0,3.0,2.0,o,o,o,review,great managers and great culture,parking and engagements as well as performance reviews
253399,EY,2019-08-20, Senior Consultant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,2.0,4.0,,3.0,2.0,3.0,v,r,r,Good culture at the junior levels,"Culture
Flexible work arrangements 
Learning opportunities","Pay 
Bonuses 
Work life balance is non existent"
253647,EY,2019-09-08, Senior Associate,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",2,,,,,,,o,o,o,Can do better!,You are given exposure to different industries,"Too much of a ""do what I say or else"" culture. No tolerance for fresh, new and diverse ideas to improve. If you that type that likes to innovate, this is not the place for you."
254227,EY,2019-10-19, Executive Assistant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",1,1.0,1.0,,1.0,2.0,1.0,x,v,r,Company reputation does not match reality,Salary is in line with competitors,"There is a culture of bullying from team leaders and senior staff to lower level staff. This is hidden with a veneer of pretending to care about staff progress, career journey and personal wellbeing, but then will use any information you provide against you and gaslight you into believing whatever may suit their agenda at the time, manipulating you into thinking you are not good at your role or are at risk of losing your job. There is a nasty culture of management and senior staff talking behind staffs' back; this has become a normalised and accepted behaviour.  Team leaders are not looking after the needs of their teams; instead they serve themselves first and foremost regardless of the consequences to their team. The office politics create a toxic environment that will eat into your self esteem and make you feel self conscious and distract you from thriving while doing your job. For a company that prides itself on having one of the best cultures to work in, I am very disappointed in how EY looks after it's executive assistants and general administrative staff in CBS. My experience with some colleagues has been great, there are some fantastic people working for EY, but the difference between the culture reputation and culture reality is shockingly vast, and overall experience has been pretty appalling."
254228,EY,2019-10-19, Executive Assistant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",1,1.0,1.0,,1.0,2.0,1.0,x,v,r,Company reputation does not match reality,Salary is in line with competitors,"There is a culture of bullying from team leaders and senior staff to lower level staff. This is hidden with a veneer of pretending to care about staff progress, career journey and personal wellbeing, but then will use any information you provide against you and gaslight you into believing whatever may suit their agenda at the time, manipulating you into thinking you are not good at your role or are at risk of losing your job. There is a nasty culture of management and senior staff talking behind staffs' back; this has become a normalised and accepted behaviour.  Team leaders are not looking after the needs of their teams; instead they serve themselves first and foremost regardless of the consequences to their team. The office politics create a toxic environment that will eat into your self esteem and make you feel self conscious and distract you from thriving while doing your job. For a company that prides itself on having one of the best cultures to work in, I am very disappointed in how EY looks after it's executive assistants and general administrative staff in CBS. My experience with some colleagues has been great, there are some fantastic people working for EY, but the difference between the culture reputation and culture reality is shockingly vast, and overall experience has been pretty appalling."
254821,EY,2019-12-07, Accountant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,3.0,5.0,,5.0,3.0,4.0,v,r,v,Good Place to Learn,"- Interesting clients
- Fun colleagues 
- Great place to learn","- Pay is average
- Long hours in busy season"
255628,EY,2020-02-21, Senior Manager,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",3,3.0,3.0,,3.0,3.0,3.0,v,v,v,Good role but do not stay too long at this level,"Great people
Great culture
Excellent client base",Making fewer Partners now so limited upward mobility
256012,EY,2020-04-06, Analyst,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Good,"Great place to work, awesome!","Perth is not so much fun, and expenisve."
256195,EY,2020-04-26, Senior Tax Accountant,Former Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Great people in my team,Team experience & exposure to quality client base,Level of commitment to the job
256325,EY,2020-05-11, Internal Audit Consultant,Current Employee,"Perth, Western Australia, Western Australia",5,3.0,5.0,,5.0,3.0,5.0,v,v,v,Great place to learn and grow,"Opportunities to grow and develop, great work culture, flexible working options, exposure to clients, diversity of clients, size of clients, great support network","Restricted to competency, difficult to gain experience in other areas of advisory"
256781,EY,2020-06-29, Senior Consultant,Current Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Good first job to gain experience,Great exposure to a range of projects across business transformation,lack of ability to gain valuable business acumen outside of project management skills
257259,EY,2020-08-11, Associate,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,2.0,4.0,,5.0,3.0,4.0,v,r,v,Good starting point job,"Strong learning experience
Work with professionals
CA paid for","Work life balance issues
High stress high expectation job"
258585,EY,2020-10-06, Senior,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",1,1.0,1.0,,1.0,4.0,1.0,x,r,r,"Colleagues are great, even though some are not welcoming, majority of them are great.","The company's name and image, the benefits.","Some managers can be nasty about the time charge - refusing to acknowledge that some task needed more time. They wanted more work done but refusing to give you the time or resources. 

It's not about how good you are at work, its about the impression your manager has on you. If you have one mistake or one bad incident / if your manager  has a bad impression on you = your career is gone.

No teamwork. Everyone has their own agenda."
258722,EY,2020-10-11, Senior Consultant,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",3,1.0,3.0,3.0,3.0,3.0,2.0,o,r,o,Don't practice what they preach to clients,Percentage of high performing staff is high,Lack governance documentation to support positions
259145,EY,2020-10-27, Senior Consultant,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",4,4.0,4.0,5.0,4.0,3.0,4.0,v,r,v,R&D tax consultant,"Learning, culture, young team, fun social environment.","Long hours, low starting salary that quickly increase but only after 2-3 years"
260375,EY,2020-12-14, Consultant,Current Employee,"Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Good company,Good social atmosphere and focus,Doesn't pay as much as software engineering
261523,EY,2021-01-17, Senior Accountant,Current Employee,"Perth, Western Australia, Western Australia",3,2.0,3.0,4.0,5.0,3.0,3.0,v,o,v,Huge learning opportunity,"- Exponential learning opportunity
- Friendly team culture
- Worthwhile TOIL policy (compared to other public practice firms anyway)
- Exposure to working with large clients
- Willingness to use up-to-date technology such as automation and AI","- LONG working hours, especially during busy season
- Salary is not that great as a senior or below
- Office politics at the upper management level which is expected
- Needs more social events that is not drinking"
262399,EY,2021-02-03, Senior Associate,Current Employee,"Perth, Western Australia, Western Australia",3,2.0,3.0,5.0,4.0,2.0,2.0,x,r,v,Depends what you're after,Lots of training and learn a lot from work you do. Reputation helps future employment,Long hours and little pay. You're just a cog in the machine
262587,EY,2021-02-08, Accountant,Current Employee,"Perth, Western Australia, Western Australia",5,3.0,5.0,5.0,5.0,3.0,5.0,v,v,v,Great company,Flexible Great culture Fun Learn a lot Global,Pressure Pay Hours Z X
263862,EY,2021-03-07, Consultant,Current Employee,"Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Good,Good training and experience and social life,Bad pay and they dont care about their staff
264221,EY,2021-03-15, Senior,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,3.0,2.0,4.0,5.0,3.0,3.0,v,r,v,Plethora of leave options,"Flexibility around annual and personal leave, life leave, term-time leave, career break, ability to purchase extra leave",Reward system in place of bonuses but it is underutilised
264596,EY,2021-03-23, Senior Consultant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",5,4.0,5.0,5.0,4.0,2.0,3.0,v,r,x,EY Review Tax,"Culture, work life balance, flexibility",Not great transparency in regards to promotions
265549,EY,2021-04-15, Senior Consultant,"Former Employee, more than 5 years","Perth, Western Australia, Western Australia",2,1.0,1.0,1.0,4.0,1.0,1.0,x,x,x,Culture under Geoff Blakie is terrible,Great for the Resume - and to learn as a grad but get out before you get to manager.,"Terrible salary
No bonuses
Crazy hours and still no appreciation 
Culture has died significantly since Covid and Geoff Blaikie is the slasher - keeps on slashing costs, people, benefits anything left that so slightly a perk he slashes it. 

 Everyone is short staffed, people are working till midnight and no progressions or promotions. 
Instead of paying redundancy payments they push people out based on a made up performance review"
267173,EY,2021-05-28, Senior Consultant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,3.0,4.0,5.0,5.0,3.0,4.0,v,o,v,Great,"Great workplace culture, interesting and challenging projects.",Remuneration is low and hours can be long
267174,EY,2021-05-28, Senior Consultant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,3.0,4.0,5.0,5.0,3.0,4.0,v,o,v,Great,"Great workplace culture, interesting and challenging projects.",Remuneration is low and hours can be long
267252,EY,2021-06-01, Auditor,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,2.0,5.0,5.0,4.0,1.0,5.0,v,o,v,Good culture low pay,"Good culture, intelligent and driven staff. Great diversity and inclusion. Flexible working.",Poor pay. Busy season demanding hours.
267253,EY,2021-06-01, Auditor,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,2.0,5.0,5.0,4.0,1.0,5.0,v,o,v,Good culture low pay,"Good culture, intelligent and driven staff. Great diversity and inclusion. Flexible working.",Poor pay. Busy season demanding hours.
271326,GTR-Govia-Thameslink-Railway,2017-11-17, Platform Assistant Dispatch,"Current Employee, less than 1 year","Victoria, England, England",4,3.0,4.0,,4.0,5.0,3.0,v,v,v,So far so good,Extensive training getting you well prepared for the journey in southern,Shame that oyster isn’t completely free
271390,GTR-Govia-Thameslink-Railway,2021-01-15, Customer Host,Current Employee,"Victoria, England, England",4,,,,,,,o,o,o,Job,Money very good for workload,N/a problem with this job
274690,GlaxoSmithKline,2018-08-19, Anonymous Employee,"Former Employee, more than 1 year","Olympic Park, New South Wales",3,3.0,2.0,,2.0,2.0,2.0,o,o,o,Medical Business Associate,"Pharma MNC, Reputed brand, Trusted name","Poor incentive structure, low scope for career growth"
276314,GlaxoSmithKline,2020-12-03, Engineer,Former Employee,"Perth, Western Australia, Western Australia",4,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Review,handles processes with criticality and focuses on attention to details,not flexible to changes due to regulatory requirements
276377,GlaxoSmithKline,2020-12-17, Sales Representative,Current Employee,"Perth, Western Australia, Western Australia",5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Great company,Modern employer that celebrates diversity and inclusion,Too many systems and processes
284928,Goldman-Sachs,2021-01-28, Investment Banking Analyst,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Analyst,"Smart, driven, competent, high integrity people","Long hours, not much room for autonomy, repetitive work"
285625,Goldman-Sachs,2021-04-01, Project Manager,Current Employee,"Victoria, BC",4,,,,,,,o,o,o,Good Company,"-challenging work
-People are nice
-Who needs sleep","-Coffee maker needs repair
-Office could be corner"
285639,Goldman-Sachs,2021-04-04, Investment Banking Analyst,Current Employee,"Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Great company,Loved working here it was awesome,They made me work very long hours
295319,Google,2019-11-20, Computer Vision,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,4.0,4.0,,4.0,4.0,4.0,o,o,o,Computer vision,Nice place and people to work with,nothing to really say about it
