firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
Deloitte,44179, Consultant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,2,3,,5,1,2,v,o,r,Great starting position,"Great Lower and Middle Management Team
Strong learning development roadmap
Exposure to a wide range of client and industries","Poor Leadership Team
Western Australian Office decisions are usually controlled by the East Coast offices
No overtime or recogniesed time in lieu benefits
No benefits"
Deloitte,44208, Senior Analyst,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Good experience,Good experience and broad client exposure,Work load and stress levels
Deloitte,44220, Graduate,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Great place to learn!,You get exposure that you wouldn’t get if you worked in industry,Can be quite intense at times depending on your project.
Deloitte,44227, Senior Consultant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",3,3,2,3,3,3,3,v,r,r,Great place to learn and grow but suffers from cliquiness.,Ongoing training; self directed work flow; ongoing self improvement.,Felt quite cliquey at time with people only working with people they had worked with before. Hard to break into the circles and get staffed on projects without having proved yourself in some manner. Best bet is to team up with other newbies.
Deloitte,44248, Senior Consultant,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",4,2,5,5,5,3,4,v,v,v,Consulting,"High performance culture
Strong management capability",Long hours and high expectations for remuneration
Deloitte,44258, Graduate,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",5,5,5,5,5,5,5,v,v,v,Great place to work,Pay and experience along with good work-life balance,hours can belong in some service lines
Deloitte,44263, Senior Consultant,Current Employee,"Perth, Western Australia, Western Australia",3,2,3,3,3,3,3,x,r,v,Variety in role,Exposure to different projects and clients,Often working in high pressure environments
Deloitte,44264, Analyst,Former Employee,"Perth, Western Australia, Western Australia",4,2,3,4,4,2,4,v,r,r,Good place to learn,Strong brand recognition and presence in market- opens doors in the future,"Hours can be long, challenging as a junior employee without support networks"
Deloitte,44264, Analyst,Former Employee,"Perth, Western Australia, Western Australia",4,2,3,4,4,2,4,v,r,r,Good place to learn,Strong brand recognition and presence in market- opens doors in the future,"Hours can be long, challenging as a junior employee without support networks"
Deloitte,44274, Specialist,"Former Employee, more than 5 years","Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Great Company,Company very strong on employee empowerment,Lots of constant travel required
Deloitte,44280, Senior Analyst,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,1,3,4,4,1,4,v,r,r,Good career start,"Great exposure to clients, senior team members and no shortage of opportunities to learn.","Be prepared to work much, much more than a 40-hour week for much, much less than your peers are earning in industry."
Deloitte,44290, Senior Analyst,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Review,You have Blue chip clients,Your work really Long hours
Deloitte,44298, Business Analyst,Current Employee,"Perth, Western Australia, Western Australia",3,3,5,4,5,2,5,v,o,v,Love the flexibility,"Work flexibility is great, culture is safe and inclusive",Long hours and low pay
Deloitte,44300, Consultant,Current Employee,"Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,...,"Good worklife balance, fun young team","Poor salary, work hard, high expectations"
Deloitte,44307, Analyst,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",4,4,5,5,4,1,4,o,o,o,Good experience,Good team and diversity of projects,Not enough money for an entry level job
Deloitte,44320, Graduate Analyst,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",4,5,5,5,5,3,5,o,o,o,?,"Flexible, supportive, learning, growth, rewarding",The pay could be better.
Department-of-Health-UK,43290, Anonymous Employee,"Former Employee, more than 1 year","Woden, Australian Capital Territory",4,,,,,,,o,o,o,Good opportunities for career progression and lots of learning opportunities,Good opportunities for development and good support for staff. Interesting policy areas and you feel that you can make a difference.,Central government so the budget is very tight. Financial incentives are few and far between.
ENGIE,41615, Anonymous Employee,"Current Employee, more than 8 years","Perth, Western Australia, Western Australia",4,3,4,,3,3,3,v,v,v,"Great experience, good international experience",Good international experience. Strong LNG trading and power company. Developing quickly in terms of E&P and LNG production project development expertise.,French nationals get preferred treatment. A lot of programme and project management standards and processes still to be developed. Competencies at the programme management level still to be developed.
ENGIE,43795, Business Analyst,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",2,4,2,,2,2,3,x,r,r,Review,Great manager who provided lots of mentoring.,Non-existent parental leave policies. Very poor in my opinion.
ENGIE,44319, Operation & Maintenance Supervisor,"Current Employee, more than 10 years","Perth, Western Australia, Western Australia",4,4,5,3,1,4,3,v,o,x,working for IPM Kwinana,Working as part of a team of motivated and capable maintenance professionals,Being a small part of a very large multi-national company with bureaucratic systems
EY,41320, Anonymous Employee,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",1,4,1,,1,1,1,x,r,r,Inconsiderate politically motivated people,Brand name world wide well known (not great in all countries though),"1. Not enough intelligence around. Don't know where they should be headed in terms of strategy. Most of the work won is of contracting nature rather than use of good work and win win strategy for selling.
2. Unethical recruiting practices by giving incorrect details and assurances during interviews, work scenario does not match with the assurances provided during interview.
3. Partners are not smart enough and do not have the ability to sell well. They get all their work done by others and portray that they are deeply involved.
4. Significant favoritism attitude shown.  Performance of good people does not matter, what matters is how close you are to the people making decisions.
5.  Perceptions matter more than good work.
6. Employees bullied through the HR route by telling them they are not performing well and in some cases unethically asked to leave.
7. Undue pressure on employees who are performing. No pressure created for favorites who are sitting on the bench for a long time and not delivering to the level required.
8. Very easy to get promoted and be nominated for monthly awards - whether or not you deserve it, no one cares."
EY,42003, Consultant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",5,5,5,,5,3,4,v,o,v,"Fun, social and enjoyable work.","Flexible work arrangements
Large social culture
Emphasis on people development",Not very high salaries compared to work for clients
EY,42371, Consultant,Current Employee,"Perth, Western Australia, Western Australia",5,3,5,,5,3,4,v,v,v,Conultant at EY,"Great corporate culture, excellent room for growth and career development. Great people and really interesting and diverse projects/work won.","It can be quite hierarchical, there's a lot of pressure to be on client work and little encouragement to work on proposals or Business Development efforts."
EY,42696, Senior Consultant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",2,2,1,,2,3,1,x,r,x,Probably the worst one out of the Big 4s in Perth,"Hard to generalise when we talk about the Big 4 machines. The practice could be run very differently in another city in the same country. My feedback is based on what I saw in EY Perth Advisory/Consulting world. 
> Knowledge-base is pretty good and accessible.
> Overall, not too bad a place if you want a start/local experience (important in Perth market) but stay too long and it's suffocating.","Too many to call out here but here's some main ones:
> Partners too greedy to look at staff's plight when on projects.
> People with job titles below Manager are treated quite poorly. No attention given to their feedback/input.
> Groupism and favouritism quite rampant in Perth with little support for ""outsiders"".
> I've seen things go worse for racial minorities with stupid things such English language skills, Accent etc. brought into conversations when discussing performance and feedback.
> Enjoy milking their clients for non value add, redundant projects staffed with absolute newbs. E.g. Mining clients served by nuffy directors and senior managers who've never ever seen a mine in their life.
> They make sure to make life miserable for people on bench with meaningless proposals for projects EY has no chance/expertise/skills/offering. Often, only aim is to undercut the competition."
EY,42923, Consultant,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",4,3,5,,5,4,4,v,r,v,Entry level grad into management consulting,The people are excellent to work with since the firm does a superb job of vetting potential employees (almost everyone has a very good working relationship with everyone else),High expectations for extra curricular contributions back into the firm (which may not be everyone's cup of tea)
EY,43062, Account Clark,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",5,4,4,,5,4,3,v,v,v,accounts clark,best place to learn and work in WA,WA is  my dream town to stay
EY,43324, Consultant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",3,3,4,,4,2,4,o,o,o,Slow growth,Good to have on resume to get other jobs. Good people to work with.,"Very slow growth in skills working as a data analyst. Tend to do the same work over and over, not applying technology typically used by ""real"" analysts. Since leaving I have learned more as an analyst in 4 months than almost 2 years at EY."
EY,43404, Anonymous Employee,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",4,,,,,,,v,v,r,Good,People are committed and skilled,Leadership are currently focused on wrong measures
EY,43424, Consultant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,5,5,,5,2,5,v,r,v,Consultant,Fantastic work like integration. Great exposure to complex matters. Great support.,"Salary is very low (starting salary for grads is $52k including super). Incremental increases are significant but after 3 years, only to $72k including super."
EY,43537, Senior Associate,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,4,3,,5,4,4,v,r,r,Risk Advisory,Great way to learn the ropes and to complete Chartered Accountants,"Limited client base, a lot of bureaucracy"
EY,43594, Transer Pricing Senior Consultant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",2,2,3,,4,2,2,x,r,r,Transfer Pricing,"Reputation, pays for your studies","luck of the draw with the team you have. usually poor work-life balance, politics, low pay to start"
EY,43628, Senior Tax Consultant,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",3,3,4,,5,2,1,v,x,v,Senior Tax Consultant EY,"Big 4, Paid for CA, Great place to start off as a graduate as you make some really great friends.","Sometimes the hours can be terrible, management is not very honest on your promotion prospects. The more senior you go into the firm there is a lot more politics and throwing other people under the bus."
EY,43685, Manager,"Current Employee, more than 8 years","Perth, Western Australia, Western Australia",4,1,4,,4,2,3,x,r,x,Good Career Starter,EY invest a lot in building your soft skills which are invaluable. You also get a wide breadth of experience across clients and industries,"Work you to the bone which is tolerable while you’re young. As you progress upwards you have to be more sales focused, and the partnership model sucks for everyone that is not a partner!"
EY,43690, Risk Manager,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",3,2,4,,3,3,2,o,o,o,review,great managers and great culture,parking and engagements as well as performance reviews
EY,43697, Senior Consultant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,2,4,,3,2,3,v,r,r,Good culture at the junior levels,"Culture
Flexible work arrangements 
Learning opportunities","Pay 
Bonuses 
Work life balance is non existent"
EY,43716, Senior Associate,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",2,,,,,,,o,o,o,Can do better!,You are given exposure to different industries,"Too much of a ""do what I say or else"" culture. No tolerance for fresh, new and diverse ideas to improve. If you that type that likes to innovate, this is not the place for you."
EY,43757, Executive Assistant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",1,1,1,,1,2,1,x,v,r,Company reputation does not match reality,Salary is in line with competitors,"There is a culture of bullying from team leaders and senior staff to lower level staff. This is hidden with a veneer of pretending to care about staff progress, career journey and personal wellbeing, but then will use any information you provide against you and gaslight you into believing whatever may suit their agenda at the time, manipulating you into thinking you are not good at your role or are at risk of losing your job. There is a nasty culture of management and senior staff talking behind staffs' back; this has become a normalised and accepted behaviour.  Team leaders are not looking after the needs of their teams; instead they serve themselves first and foremost regardless of the consequences to their team. The office politics create a toxic environment that will eat into your self esteem and make you feel self conscious and distract you from thriving while doing your job. For a company that prides itself on having one of the best cultures to work in, I am very disappointed in how EY looks after it's executive assistants and general administrative staff in CBS. My experience with some colleagues has been great, there are some fantastic people working for EY, but the difference between the culture reputation and culture reality is shockingly vast, and overall experience has been pretty appalling."
EY,43757, Executive Assistant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",1,1,1,,1,2,1,x,v,r,Company reputation does not match reality,Salary is in line with competitors,"There is a culture of bullying from team leaders and senior staff to lower level staff. This is hidden with a veneer of pretending to care about staff progress, career journey and personal wellbeing, but then will use any information you provide against you and gaslight you into believing whatever may suit their agenda at the time, manipulating you into thinking you are not good at your role or are at risk of losing your job. There is a nasty culture of management and senior staff talking behind staffs' back; this has become a normalised and accepted behaviour.  Team leaders are not looking after the needs of their teams; instead they serve themselves first and foremost regardless of the consequences to their team. The office politics create a toxic environment that will eat into your self esteem and make you feel self conscious and distract you from thriving while doing your job. For a company that prides itself on having one of the best cultures to work in, I am very disappointed in how EY looks after it's executive assistants and general administrative staff in CBS. My experience with some colleagues has been great, there are some fantastic people working for EY, but the difference between the culture reputation and culture reality is shockingly vast, and overall experience has been pretty appalling."
EY,43806, Accountant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",4,3,5,,5,3,4,v,r,v,Good Place to Learn,"- Interesting clients
- Fun colleagues 
- Great place to learn","- Pay is average
- Long hours in busy season"
EY,43882, Senior Manager,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",3,3,3,,3,3,3,v,v,v,Good role but do not stay too long at this level,"Great people
Great culture
Excellent client base",Making fewer Partners now so limited upward mobility
EY,43927, Analyst,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",5,5,5,,5,5,5,v,v,v,Good,"Great place to work, awesome!","Perth is not so much fun, and expenisve."
EY,43947, Senior Tax Accountant,Former Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Great people in my team,Team experience & exposure to quality client base,Level of commitment to the job
EY,43962, Internal Audit Consultant,Current Employee,"Perth, Western Australia, Western Australia",5,3,5,,5,3,5,v,v,v,Great place to learn and grow,"Opportunities to grow and develop, great work culture, flexible working options, exposure to clients, diversity of clients, size of clients, great support network","Restricted to competency, difficult to gain experience in other areas of advisory"
EY,44011, Senior Consultant,Current Employee,"Perth, Western Australia, Western Australia",4,,,,,,,o,o,o,Good first job to gain experience,Great exposure to a range of projects across business transformation,lack of ability to gain valuable business acumen outside of project management skills
EY,44054, Associate,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,2,4,,5,3,4,v,r,v,Good starting point job,"Strong learning experience
Work with professionals
CA paid for","Work life balance issues
High stress high expectation job"
EY,44110, Senior,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",1,1,1,,1,4,1,x,r,r,"Colleagues are great, even though some are not welcoming, majority of them are great.","The company's name and image, the benefits.","Some managers can be nasty about the time charge - refusing to acknowledge that some task needed more time. They wanted more work done but refusing to give you the time or resources. 

It's not about how good you are at work, its about the impression your manager has on you. If you have one mistake or one bad incident / if your manager  has a bad impression on you = your career is gone.

No teamwork. Everyone has their own agenda."
EY,44115, Senior Consultant,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",3,1,3,3,3,3,2,o,r,o,Don't practice what they preach to clients,Percentage of high performing staff is high,Lack governance documentation to support positions
EY,44131, Senior Consultant,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",4,4,4,5,4,3,4,v,r,v,R&D tax consultant,"Learning, culture, young team, fun social environment.","Long hours, low starting salary that quickly increase but only after 2-3 years"
EY,44179, Consultant,Current Employee,"Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Good company,Good social atmosphere and focus,Doesn't pay as much as software engineering
EY,44213, Senior Accountant,Current Employee,"Perth, Western Australia, Western Australia",3,2,3,4,5,3,3,v,o,v,Huge learning opportunity,"- Exponential learning opportunity
- Friendly team culture
- Worthwhile TOIL policy (compared to other public practice firms anyway)
- Exposure to working with large clients
- Willingness to use up-to-date technology such as automation and AI","- LONG working hours, especially during busy season
- Salary is not that great as a senior or below
- Office politics at the upper management level which is expected
- Needs more social events that is not drinking"
EY,44230, Senior Associate,Current Employee,"Perth, Western Australia, Western Australia",3,2,3,5,4,2,2,x,r,v,Depends what you're after,Lots of training and learn a lot from work you do. Reputation helps future employment,Long hours and little pay. You're just a cog in the machine
EY,44235, Accountant,Current Employee,"Perth, Western Australia, Western Australia",5,3,5,5,5,3,5,v,v,v,Great company,Flexible Great culture Fun Learn a lot Global,Pressure Pay Hours Z X
EY,44262, Consultant,Current Employee,"Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Good,Good training and experience and social life,Bad pay and they dont care about their staff
EY,44270, Senior,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,3,2,4,5,3,3,v,r,v,Plethora of leave options,"Flexibility around annual and personal leave, life leave, term-time leave, career break, ability to purchase extra leave",Reward system in place of bonuses but it is underutilised
EY,44278, Senior Consultant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",5,4,5,5,4,2,3,v,r,x,EY Review Tax,"Culture, work life balance, flexibility",Not great transparency in regards to promotions
EY,44301, Senior Consultant,"Former Employee, more than 5 years","Perth, Western Australia, Western Australia",2,1,1,1,4,1,1,x,x,x,Culture under Geoff Blakie is terrible,Great for the Resume - and to learn as a grad but get out before you get to manager.,"Terrible salary
No bonuses
Crazy hours and still no appreciation 
Culture has died significantly since Covid and Geoff Blaikie is the slasher - keeps on slashing costs, people, benefits anything left that so slightly a perk he slashes it. 

 Everyone is short staffed, people are working till midnight and no progressions or promotions. 
Instead of paying redundancy payments they push people out based on a made up performance review"
EY,44344, Senior Consultant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,3,4,5,5,3,4,v,o,v,Great,"Great workplace culture, interesting and challenging projects.",Remuneration is low and hours can be long
EY,44344, Senior Consultant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,3,4,5,5,3,4,v,o,v,Great,"Great workplace culture, interesting and challenging projects.",Remuneration is low and hours can be long
EY,44348, Auditor,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,2,5,5,4,1,5,v,o,v,Good culture low pay,"Good culture, intelligent and driven staff. Great diversity and inclusion. Flexible working.",Poor pay. Busy season demanding hours.
EY,44348, Auditor,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,2,5,5,4,1,5,v,o,v,Good culture low pay,"Good culture, intelligent and driven staff. Great diversity and inclusion. Flexible working.",Poor pay. Busy season demanding hours.
GlaxoSmithKline,44168, Engineer,Former Employee,"Perth, Western Australia, Western Australia",4,5,5,5,5,5,5,v,v,v,Review,handles processes with criticality and focuses on attention to details,not flexible to changes due to regulatory requirements
GlaxoSmithKline,44182, Sales Representative,Current Employee,"Perth, Western Australia, Western Australia",5,5,5,5,5,5,5,v,v,v,Great company,Modern employer that celebrates diversity and inclusion,Too many systems and processes
Goldman-Sachs,44224, Investment Banking Analyst,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Analyst,"Smart, driven, competent, high integrity people","Long hours, not much room for autonomy, repetitive work"
Goldman-Sachs,44290, Investment Banking Analyst,Current Employee,"Perth, Western Australia, Western Australia",5,,,,,,,o,o,o,Great company,Loved working here it was awesome,They made me work very long hours
Google,43789, Computer Vision,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,4,4,,4,4,4,o,o,o,Computer vision,Nice place and people to work with,nothing to really say about it
Google,44126, Senior Software Developer,"Current Employee, more than 8 years","Perth, Western Australia, Western Australia",5,5,5,5,5,5,5,v,v,v,very fortunate to work with Google,"salary, care, holiday, friends, family",none ... seriously none . you need to work here
Google,44245, Account Strategist,Former Employee,"Perth, Western Australia, Western Australia",5,5,5,5,5,5,5,v,v,v,Great company,Great culture to work around,No cons from me in this role
Google,44255, Engineer,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",5,5,5,5,5,5,5,v,v,v,God,Very good service and quality,Lots of high workload but good
Google,44274, Data Analyst,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,4,4,4,4,4,4,v,v,v,Fun job,good pay and very good culture,hard work but still fulfilling
Grant-Thornton,42541, Manager ,Former Employee,"Perth, Western Australia, Western Australia",4,3,4,,5,4,4,v,r,v,Restructuring Manager,Grant Thornton had an active development programme for managers with regular training and conferences. This was a great assistance in career progression.,In our dept we were regularly quite busy and at times it felt underresourced to deal with the work on hand. This was the main downside.
Grant-Thornton,42657, Staff Accountant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",1,3,1,,2,1,1,x,r,x,Accountant,"Started as a graduate, and am grateful for the opportunity. Client base is varied such that you are able to have exposure to many different clients.","Bad feedback process in terms of promotions, below market rate for salary and generally stingy as a firm, very strong overtime culture (did more overtime in my time there than colleagues at other accounting firms)."
HSBC-Holdings,42730, PBE,"Former Employee, more than 5 years","Perth, Western Australia, Western Australia",5,3,5,,4,5,3,v,r,v,PBE,Good benefits. Friendly staff. Nice boss. Always go home on time.,Not much cons the only one is always short staff
Hays,42527, Recruitment Consultant,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",1,1,1,,2,1,1,x,r,r,Mircomanaging pretenders,Able to get insights into industries you may like to work in.,"Many consultants are not educated professionals and lack the research skills to do the job well. It is frustrating to work with an office full of sales people pretending to be specialists in a certain area of the labour market.

Long compulsory working hours and constant micromanagement create a toxic working environment. There is an extremely high turnover of staff."
Hays,43012, Resourcer,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",2,2,4,,1,1,4,v,o,v,Resourcer,Great experience to get started in the role if you dont have much experience,"Pay is very minimal, not covered under an award. Lots of over time and crazy hours. Lots of responsibilities with no extra benefits or penalties"
Hays,43172, Senior Recruitment Consultant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",4,2,5,,4,5,3,v,v,v,Senior Recruitment Consultant,"Great training provided for new starters,  great culture and people and work hard pay hard attitude. Fantastic database to find candidates the best in the business and no grey areas with commission.","Long working hours, no flexibility to work remotely very KPI driven."
Hays,43354, Recruitment Consultant,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",3,3,3,,4,3,3,x,r,r,Good training,The training is fantastic and there is a great career structure.,"Very high KPIs 
Salary is very low until
You become a Senior consultant which can take 2-3 years.
Not a very good commission structure. You are unlikely to make  any commission for first 6 - 8 months and it’s not great after that."
Hays,43464, Business Manager,"Current Employee, more than 5 years","Perth, Western Australia, Western Australia",5,5,5,,5,5,5,v,v,v,Business Manager,"Established brand, clear vision and mission, flexibility and support to progress your career to the next level. Hays provides a professional working environment and in Perth specifically, management do not manage via emails or numbers but more towards 1:1 interactions. There are professionals currently working flexible hours because of a young family, Senior Consultants being groomed for people management because this is the path they would like to explore and very good performers who would be happy just to focus on delivery. I appreciate the different paths available to fit different individuals.",High turnover at junior level because of the large size. Recruitment is not for everyone and it does take a lot of the experienced consultants time to train and support less experienced members.
Hays,43598, Associate Consultant,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",5,4,5,,5,5,5,v,v,v,Professionals with second to none training,"The title speaks for itself, the training is great, the team culture has been fantastic and I can say that I can see myself here for years to come",My distance from the city means I travel a hour there and back.
Hays,43604, Associate Consultant,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",3,1,3,,3,2,3,x,r,r,Associate Consultant,"Great training and development, career opportunities","Long working hours, no work life balance"
Hays,43628, Business Manager,"Former Employee, more than 8 years","Perth, Western Australia, Western Australia",1,1,1,,2,1,1,x,r,x,"Toxic Culture, Bully, Intimidating behaviour from senior management to associate level.","First 7 years were good, change in management and business trends has made it all toxic","Toxic culture
Hays breed green eyed monsters and encouraging arguments over fees between staff
No team environment 
Number driven...no client or candidate relationships 
Constant emails about KPIs
Demotivating environment 
Just all round poison"
Hays,43676, Consultant,"Former Employee, less than 1 year","Perth, Western Australia, Western Australia",3,2,5,,2,1,3,x,r,x,Loved the people just expect too much,Awesome team of people and excellent training,Very number driven and terrible salary for all the work that's expected
Hays,43714, Senior Consultant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",4,3,5,,5,4,4,v,v,v,Not just another job!,"Clearly set career path 
Great commissions - if you put the effort in! 
Great team environment with lots of social events","Long hours but can be worth it! 
Average base salary - you need to be motivated by commission"
Hays,43752, Associate Consultant,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",5,4,5,,5,4,5,v,v,v,Great job,"Training, team and company culture, support and guidance to succeed. As long as you do what your managers say and ask questions and help you will get the results","Base salary low, although there is commission it can take a few months to get there so its keeping that in mind."
Hays,43753, Recruitment Consultant,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",1,1,1,,1,3,2,x,r,x,Long Hours and Terrible Culture,Get a few trips interstate,"Insanely long hours, no work life balanace"
Hays,44172, Recruitment Consultant,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",1,1,1,5,5,1,1,x,x,x,Bad people management,"Development and training are great, lots of opportunity to a certain extend","Company as a whole treated staff terribly during covid with no regard to mental health, setting unrealistic KPIs and pressure onto the staff"
Hays,44216, RecruitmentConsultant,Former Employee,"Perth, Western Australia, Western Australia",2,1,2,2,4,1,2,x,o,o,Not great,Build great relationships with work colleagues. Lots of good training to set you up in the field.,"Very low pay, long hours, no over time pay or time in lieu for extra hours, working to strict KPIs - if they are not met you will be put on performance management and be given official warning letters."
Hays,44229, Senior Recruitment Consultant,"Former Employee, more than 3 years","Perth, Western Australia, Western Australia",3,,3,2,4,3,2,v,v,v,Work Hard without the Play Hard benefits,"Fast-paced , wins and outcomes focused, celebratory environment, financially rewarded for success. Suits driven and ambitious people. Don't need any qualifications or high intelect to succeed. Great training program. I'd recommend for someone starting their recruitment career, while you've got high energy and enthusiam. Excellent systems and database, highly automated. Lots of templates and scripts to utilise. Very social.","Competitive, employees pushed to beat previous records and targets. Long hours. Poor work life balance. Lots of socialisation outside of work hours with colleagues means it can feel all consuming. Can feel restricted by automation and processes. Pressure to always perform and to play the corporate game. Exhausting."
Hays,44290, Life Coach,Current Employee,"Perth, Western Australia, Western Australia",3,,,,,,,o,o,o,My review,Just another recruitment company. Impersonal at times,They have found me work
Hays,44350, Recruitment Consultant,"Current Employee, less than 1 year","Perth, Western Australia, Western Australia",3,2,3,3,4,2,4,v,v,v,Low base salary,"Good training , brand name , good opportunities","Salary , capped commission, working hours"
Hilton,42656, Business Analyst,"Current Employee, more than 3 years","Perth, Western Australia, Western Australia",5,3,4,,4,3,5,v,o,v,Business Analyst,"True people company to work for, great culture and career progession","Large Company (regulations, politics), may take time to implement changes if required"
Hilton,42657, Event Sales Executive,Current Employee,"Perth, Western Australia, Western Australia",5,5,5,,5,5,5,v,o,v,Working at Hilton is great!,"We're like a family here. Everyone looks out for each other. They value their employees, and really love to invest in their employees career goals.",I do not have any issues with Hilton. They're a great company to work for and I have no complaints.
Hilton,42703, ,Current Employee,"Perth, Western Australia, Western Australia",5,5,5,,5,5,5,x,o,x,Good,"Friendly staff,higher reputed hoteli, work wide hotel luxuries hotel","Not enough time,no consistent schedule, unorganised"
Hyatt,42923, Front Desk Receptionist,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",2,2,3,,2,2,2,x,o,v,Not great,"The staff were nice and I got free old food for breakfast, lunch and dinner.","Some of the managers (not all) had inadequate training to be able to manage.  They had terrible people skills.   Very inflexible,  in regards to shifts.  Didn't take into consideration our ability to get tips.  Management often put me in a situation where I would provide excellent service and my co-worker would get my tip.  I was the middle man.  I was also unable to perform my job well as the computer,s equipment, everything was too old."
Hyatt,42936, Sales & Marketing Coordinator,"Current Employee, more than 1 year","Perth, Western Australia, Western Australia",2,3,3,,2,1,1,x,r,x,"Poor pay, poor leadership, but coworkers are the best.","Coworkers, interesting job, fun events and clients. The people are what make this job bearable. Free or discounted accommodation at other Hyatt hotels worldwide.","Terrible leadership, miserable pay and lack of career development and progression opportunities. Most of the staff work long hours and do not receive adequate remuneration."
Hyatt,44076, Bell Attendant/Valet,"Former Employee, more than 5 years","Perth, Western Australia, Western Australia",1,1,1,,1,1,1,x,o,x,Average Place - HR is not good.,No pros as its average hotel,Asked to work like Robot
Hyatt,44320, Food and Beverage,"Former Employee, more than 1 year","Perth, Western Australia, Western Australia",3,2,3,4,3,2,2,x,x,x,It was okay,HR is quick to handle situations,"Quarantine hotel
Lack of communication between departments
Outdated equipment"
